disease,symptoms,tests,specialist to Consult,urgency 
Tuberculosis,"High fever, chills and myalgia with localized symptoms according to the infected organ. May show signs of systemic inflammatory response in severe cases. Patients may also report gradual onset or episodic flares depending on the disease course.","Complete blood count, blood cultures and site-specific cultures or PCR. Imaging such as X-ray or ultrasound as indicated; serology for specific pathogens when appropriate. Further targeted testing is guided by clinical findings and specialist consultation.",Infectious disease specialist / General physician,Moderate
Pneumonia,"High fever, chills and myalgia with localized symptoms according to the infected organ. May show signs of systemic inflammatory response in severe cases. Patients may also report gradual onset or episodic flares depending on the disease course.","Complete blood count, blood cultures and site-specific cultures or PCR. Imaging such as X-ray or ultrasound as indicated; serology for specific pathogens when appropriate. Further targeted testing is guided by clinical findings and specialist consultation.",Infectious disease specialist / General physician,Moderate
Sepsis,"High fever, chills and myalgia with localized symptoms according to the infected organ. May show signs of systemic inflammatory response in severe cases. Patients may also report gradual onset or episodic flares depending on the disease course.","Complete blood count, blood cultures and site-specific cultures or PCR. Imaging such as X-ray or ultrasound as indicated; serology for specific pathogens when appropriate. Further targeted testing is guided by clinical findings and specialist consultation.",Infectious disease specialist / General physician,High
Urinary tract infection,"High fever, chills and myalgia with localized symptoms according to the infected organ. May show signs of systemic inflammatory response in severe cases. Patients may also report gradual onset or episodic flares depending on the disease course.","Complete blood count, blood cultures and site-specific cultures or PCR. Imaging such as X-ray or ultrasound as indicated; serology for specific pathogens when appropriate. Further targeted testing is guided by clinical findings and specialist consultation.",Infectious disease specialist / General physician,Moderate
Cellulitis,"High fever, chills and myalgia with localized symptoms according to the infected organ. May show signs of systemic inflammatory response in severe cases. Patients may also report gradual onset or episodic flares depending on the disease course.","Complete blood count, blood cultures and site-specific cultures or PCR. Imaging such as X-ray or ultrasound as indicated; serology for specific pathogens when appropriate. Further targeted testing is guided by clinical findings and specialist consultation.",Infectious disease specialist / General physician,High
Dengue fever,"Fever and systemic features such as fatigue and malaise. Often accompanied by organ-specific complaints (e.g., cough with pneumonia or dysuria with UTI). Onset may be acute or subacute depending on pathogen. Patients may also report gradual onset or episodic flares depending on the disease course.","Complete blood count, blood cultures and site-specific cultures or PCR. Imaging such as X-ray or ultrasound as indicated; serology for specific pathogens when appropriate. Further targeted testing is guided by clinical findings and specialist consultation.",Infectious disease specialist / General physician,High
Malaria,"Fever and systemic features such as fatigue and malaise. Often accompanied by organ-specific complaints (e.g., cough with pneumonia or dysuria with UTI). Onset may be acute or subacute depending on pathogen. Patients may also report gradual onset or episodic flares depending on the disease course.","Complete blood count, blood cultures and site-specific cultures or PCR. Imaging such as X-ray or ultrasound as indicated; serology for specific pathogens when appropriate. Further targeted testing is guided by clinical findings and specialist consultation.",Infectious disease specialist / General physician,High
Hepatitis B,"Fever and systemic features such as fatigue and malaise. Often accompanied by organ-specific complaints (e.g., cough with pneumonia or dysuria with UTI). Onset may be acute or subacute depending on pathogen. Patients may also report gradual onset or episodic flares depending on the disease course.","Complete blood count, blood cultures and site-specific cultures or PCR. Imaging such as X-ray or ultrasound as indicated; serology for specific pathogens when appropriate. Further targeted testing is guided by clinical findings and specialist consultation.",Infectious disease specialist / General physician,Low
Hepatitis C,"Fever and systemic features such as fatigue and malaise. Often accompanied by organ-specific complaints (e.g., cough with pneumonia or dysuria with UTI). Onset may be acute or subacute depending on pathogen. Patients may also report gradual onset or episodic flares depending on the disease course.","Complete blood count, blood cultures and site-specific cultures or PCR. Imaging such as X-ray or ultrasound as indicated; serology for specific pathogens when appropriate. Further targeted testing is guided by clinical findings and specialist consultation.",Infectious disease specialist / General physician,Moderate
HIV infection,"High fever, chills and myalgia with localized symptoms according to the infected organ. May show signs of systemic inflammatory response in severe cases. Patients may also report gradual onset or episodic flares depending on the disease course.","Complete blood count, blood cultures and site-specific cultures or PCR. Imaging such as X-ray or ultrasound as indicated; serology for specific pathogens when appropriate. Further targeted testing is guided by clinical findings and specialist consultation.",Infectious disease specialist / General physician,Moderate
